m,μ,D,N_mean,alphau_mean,betau_mean,Q_ST_u_mean,N_std,alphau_std,betau_std,Q_ST_u_std,N,alphau,betau,Q_ST_u,mean_local_clustering_coefficient,var._local_clustering_coefficient,mean_betweenness_centrality,var._betweenness_centrality,mean_edge_betweeness_centrality_nx,var._edge_betweeness_centrality_nx,mean_eigenvector_centrality,var._eigenvector_centrality,mean_rich_club_nx,var._rich_club_nx,mean_closeness_centrality,var._closeness_centrality,density,degree_var.,degree_correlation,cl,mean_neighb._deg.,var._neighb._deg.,smax,s_elasticity,modules,mean_deg._distrib.,var._deg._distrib.,diameter,graph_energy,algebraic_connectivity,kk,sqrtk,sqrtk_inv,heat_hetero
0.0,0.10000000149011612,0.05000000074505806,1348.208,0.019148022591542413,0.6360689342479556,0.9707886705785679,5.919047220625957,0.001542708811051417,0.02075710284006098,0.0019263117394462312,"[1351.89, 1355.87, 1348.21, 1343.86, 1341.21]","[0.01994116028647, 0.016899587741648493, 0.01865899894091671, 0.019196619407721393, 0.021043746580955466]","[0.6203536101372075, 0.6261092155758585, 0.6179491067177795, 0.6512604622052955, 0.664672276603637]","[0.9688562811886233, 0.973717952764476, 0.9706899758657482, 0.9713678624118082, 0.9693112806621837]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.03448275849223137,0.10000000149011612,0.05000000074505806,1353.784,0.12735493629527217,0.021743230004861933,0.1432496780422983,5.782134553951458,0.037356864018669514,0.007507982308007314,0.018640246793952174,"[1348.93, 1356.83, 1355.06, 1347.01, 1361.09]","[0.07608554620418566, 0.1485495416265803, 0.17512229464639678, 0.12425953629157266, 0.11275776270762554]","[0.009540924864366269, 0.026162377921224163, 0.029220965462744622, 0.02263448861671642, 0.021157393159258183]","[0.11142494540885463, 0.14974581006801682, 0.1429994091664069, 0.154087197425817, 0.1579910281423961]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.06896551698446274,0.10000000149011612,0.05000000074505806,1353.246,0.16165135971087918,0.011729605176632666,0.07176766958371023,4.80337173243957,0.102229053677941,0.005902597593547851,0.008358549745993156,"[1344.7, 1355.1, 1355.59, 1354.76, 1356.08]","[0.12212318929458732, 0.31108447110392634, 0.06545354895347015, 0.22022877015002304, 0.08936681905238908]","[0.00964378503490273, 0.01967704217909178, 0.0056184066831836636, 0.016006042673027868, 0.00770274931295729]","[0.07318817999712092, 0.059490120188968286, 0.07905237210450548, 0.06775480074995135, 0.07935287487800508]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.1034482792019844,0.10000000149011612,0.05000000074505806,1350.988,0.12162979303687918,0.006235307967049158,0.048342348764867094,3.7435771662943456,0.02128990476259865,0.00148974313216395,0.004383924747203169,"[1350.88, 1351.12, 1345.59, 1356.17, 1351.18]","[0.14984883333830235, 0.10884047991693369, 0.12202113283143047, 0.13279611970225377, 0.09464239939547556]","[0.007656573721523202, 0.005087618642567968, 0.006707063725941074, 0.007450067105020616, 0.004275216640192929]","[0.048611497626967134, 0.04465639914029495, 0.052102522254725066, 0.05312135234919764, 0.04321997245315069]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.13793103396892548,0.10000000149011612,0.05000000074505806,1348.986,0.12526648949173652,0.004750040402693005,0.03662171982659916,2.8540988069791573,0.03356863527751905,0.001218731946570931,0.0010101827252181977,"[1351.37, 1347.23, 1348.03, 1352.53, 1345.77]","[0.07169465344227959, 0.13703201341636112, 0.16282628179587746, 0.1336861556558753, 0.12109334314828908]","[0.002742747077285971, 0.0053944112837887815, 0.005915259438537162, 0.005093341675743073, 0.0046044425381100386]","[0.0368463575855937, 0.03787507335907382, 0.03505514644031681, 0.036700966451639165, 0.036631055296372284]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.17241379618644714,0.10000000149011612,0.05000000074505806,1350.792,0.1075391212035349,0.003326074631718163,0.03007946538479154,2.4959407044238935,0.025771337787731653,0.0007888699491140461,0.002394305361717039,"[1353.54, 1348.37, 1348.21, 1352.99, 1350.85]","[0.09812334602788375, 0.08387142262596871, 0.09806165266168827, 0.1513172734857633, 0.10632191121637057]","[0.0029603850630819262, 0.00262251423332621, 0.0034322502532683295, 0.004639930172509768, 0.002975293436404581]","[0.02928646411377379, 0.03032020889039214, 0.03381730483006716, 0.029751303971034197, 0.027222045118690377]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.2068965584039688,0.10000000149011612,0.05000000074505806,1355.728,0.20216050497142302,0.005073769242750626,0.024387252689565923,6.581441331501758,0.07387555696982141,0.001929246308147495,0.0019141007739564013,"[1358.86, 1365.05, 1353.76, 1353.46, 1347.51]","[0.30532526246962816, 0.12362698310172963, 0.14845013123141784, 0.24596018372911327, 0.18743996432522622]","[0.007798787960212108, 0.0029476981605396236, 0.003530640568636585, 0.005785729509051387, 0.005305990015313423]","[0.024906384385058707, 0.023288213180895485, 0.023230837209337826, 0.02298241681316903, 0.02752841185936856]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.24137930572032928,0.10000000149011612,0.05000000074505806,1348.4099999999999,0.18149626220847734,0.003912748702851865,0.021151387064898518,6.7594563390853075,0.10734357894542995,0.0022257233941054416,0.0012322385119557756,"[1348.99, 1356.96, 1348.1, 1349.93, 1338.07]","[0.11357668841062499, 0.1414356190756713, 0.0743112108677713, 0.3402451477414681, 0.23791264494685105]","[0.00239074806439396, 0.003264245609053343, 0.0015357503233476017, 0.006924174239021653, 0.005448825278442768]","[0.02061568434263839, 0.02255873297577407, 0.020248013885194736, 0.019944660431173638, 0.02238984368971175]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.27586206793785095,0.10000000149011612,0.05000000074505806,1351.622,0.2644751793080039,0.005264328724921982,0.019372207782741797,7.027892287165493,0.050117584207562065,0.0012027620808720157,0.001065064812298876,"[1352.08, 1351.75, 1340.56, 1360.03, 1353.69]","[0.2930192469040637, 0.28542418386270446, 0.2916515441621737, 0.17556473387831825, 0.2767161877327593]","[0.006185593708799341, 0.005667180896850933, 0.005908723398260416, 0.0031794449113711314, 0.005380700709328092]","[0.02067344129904233, 0.019468735877933328, 0.019857232441358664, 0.017787683676748267, 0.019073945618626395]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.3103448152542114,0.10000000149011612,0.05000000074505806,1353.7440000000001,0.16432096395469617,0.0027964102742769,0.016646465426843775,5.094710982970559,0.054805498744583354,0.0010044984360667627,0.0004837696256097848,"[1352.37, 1351.59, 1356.74, 1360.65, 1347.37]","[0.26039895732357027, 0.139942818803894, 0.14377575389001204, 0.15388946675869103, 0.12359782299731353]","[0.004551324353865185, 0.00226958917474512, 0.002417390950166774, 0.0026674118109310803, 0.0020763350816763375]","[0.017178031761469155, 0.0159591501684299, 0.016535597156826422, 0.01703797262248596, 0.016521575425007425]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
