m,μ,D,N_mean,alphau_mean,betau_mean,Q_ST_u_mean,N_std,alphau_std,betau_std,Q_ST_u_std,N,alphau,betau,Q_ST_u,mean_local_clustering_coefficient,var._local_clustering_coefficient,mean_betweenness_centrality,var._betweenness_centrality,mean_edge_betweeness_centrality_nx,var._edge_betweeness_centrality_nx,mean_eigenvector_centrality,var._eigenvector_centrality,mean_rich_club_nx,var._rich_club_nx,mean_closeness_centrality,var._closeness_centrality,density,degree_var.,degree_correlation,cl,mean_neighb._deg.,var._neighb._deg.,smax,s_elasticity,modules,mean_deg._distrib.,var._deg._distrib.,diameter,graph_energy,algebraic_connectivity,kk,sqrtk,sqrtk_inv,heat_hetero
0.0,0.10000000149011612,0.05000000074505806,1353.672,0.018830880683933716,0.1945171074565604,0.9115244581266871,5.892679356625522,0.0028554678385030673,0.006993917119699345,0.01488368770672983,"[1343.35, 1356.04, 1356.55, 1354.54, 1357.88]","[0.016280047318915424, 0.0222744679956079, 0.020506900584903707, 0.019564091295447974, 0.015528896224793582]","[0.19780010049608937, 0.18773709276091513, 0.18756327141020182, 0.19550303073404227, 0.20398204188155333]","[0.9239534936561066, 0.8939369436836299, 0.9014423817298229, 0.9090326261362938, 0.9292568454275829]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.03448275849223137,0.10000000149011612,0.05000000074505806,1351.1799999999998,0.12271717206989105,0.02096500554492121,0.1434686856838209,4.082499234537585,0.03140999767023934,0.007648674109404257,0.018202359289072226,"[1354.29, 1352.85, 1351.89, 1344.04, 1352.83]","[0.10184149010519826, 0.14630853215401635, 0.1494324344059271, 0.07794167791719951, 0.13806172576711412]","[0.015707967617997625, 0.025214039085053416, 0.03141450808688089, 0.012087630332130919, 0.020400882602543195]","[0.13362858427630153, 0.14700128911844407, 0.1737077091481942, 0.13426328122676448, 0.12874256464940023]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.06896551698446274,0.10000000149011612,0.05000000074505806,1351.7279999999998,0.12559934618235155,0.009932464129101206,0.07362996159022836,4.316441821686009,0.016689150616811373,0.0009388128440911331,0.004179300197234705,"[1347.79, 1352.6, 1352.75, 1347.5, 1358.0]","[0.11966524412331539, 0.14109502372669114, 0.13497664938901663, 0.09922566143834712, 0.13303415223438753]","[0.010193184157244692, 0.010692449723133515, 0.010001526249640786, 0.008319554334442673, 0.01045560618104436]","[0.07849459054919596, 0.07044355822068574, 0.0689864264437188, 0.07735866514061725, 0.07286656759692399]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.1034482792019844,0.10000000149011612,0.05000000074505806,1350.5939999999998,0.1405824253545755,0.007737189663552736,0.05195880598329693,7.582531239632302,0.025027673389430037,0.0017855020939671947,0.003951062099836365,"[1344.89, 1351.1, 1360.28, 1341.52, 1355.18]","[0.11317688325562633, 0.15216294641524805, 0.11761072369403687, 0.14694097052213428, 0.17302060288583185]","[0.006273581996126252, 0.007753381007335964, 0.006415242966428922, 0.00753640081690508, 0.010707341530967463]","[0.052520364679234315, 0.04848398617138953, 0.05172499871733577, 0.048786438761730076, 0.05827824158679494]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.13793103396892548,0.10000000149011612,0.05000000074505806,1352.348,0.11980412103201692,0.004556929875264027,0.0369954598525841,2.987184292942105,0.02196142363590482,0.0004935656132309097,0.0026490188326501736,"[1355.19, 1349.35, 1353.8, 1348.9, 1354.5]","[0.10827851736423848, 0.15568880709368255, 0.1027491295869525, 0.12592752115681355, 0.10637662995839753]","[0.0041744377094215575, 0.005230975713885426, 0.004218905407318404, 0.004939643853871819, 0.004220686691822934]","[0.037121636391744234, 0.03250672864840218, 0.03944080498014537, 0.037745479192343584, 0.038162650050285116]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.17241379618644714,0.10000000149011612,0.05000000074505806,1351.964,0.1250036066558003,0.003796010417246677,0.029361190891595952,3.8845566027540297,0.022416102815891424,0.0007858706497575677,0.0014439319921928605,"[1350.39, 1347.39, 1357.39, 1350.42, 1354.23]","[0.1533113178316658, 0.12300771534517231, 0.14017323035241, 0.11181748627357052, 0.09670828347618274]","[0.004844233642102231, 0.003794176513906021, 0.0041210330805901965, 0.0035137708252028776, 0.0027068380244320584]","[0.030629551710081478, 0.029922081274013565, 0.028559923191289624, 0.03046676949158346, 0.027227628791011628]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.2068965584039688,0.10000000149011612,0.05000000074505806,1349.1060000000002,0.13028992648348456,0.0032331922951024834,0.02424500418344535,4.325855984657852,0.01410404407788825,0.00034704716117606654,0.0013604581983381022,"[1352.36, 1344.31, 1352.89, 1344.49, 1351.48]","[0.14057641792407854, 0.1303010404208282, 0.11700124978763299, 0.1158351952859631, 0.14773572899891999]","[0.003246912642304975, 0.003439626730732412, 0.0027833815120638515, 0.0030237805502427943, 0.0036722600401683857]","[0.02257570193596873, 0.025718629972396354, 0.02323654947937295, 0.025440069031132554, 0.024254070498356158]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.24137930572032928,0.10000000149011612,0.05000000074505806,1351.788,0.14300284565946372,0.003111276204821059,0.0212249301202606,3.24332699554016,0.015683268926435116,0.0004776214280636398,0.0012704564938876364,"[1354.37, 1350.2, 1354.5, 1352.99, 1346.88]","[0.13326517185989617, 0.1513123755796396, 0.13869082624795126, 0.12606231310890872, 0.16568354150092293]","[0.002624640233601945, 0.0035018484947786106, 0.003090007112539003, 0.002662108087125653, 0.003677777096060084]","[0.019314473934190727, 0.02261968185232963, 0.021794251305339612, 0.02068067630361708, 0.02171556720582594]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.27586206793785095,0.10000000149011612,0.05000000074505806,1348.734,0.1307827903413481,0.002562584654571752,0.019222684744872286,3.368891509087239,0.022287730356414535,0.0004338735925640295,0.0008006448861114464,"[1345.63, 1347.41, 1348.87, 1347.36, 1354.4]","[0.11812960060550431, 0.15496060062974715, 0.1249097254119655, 0.1523684754599329, 0.10354554959959061]","[0.0023139536914794246, 0.0029780184975251446, 0.002625273493858599, 0.002941963995968441, 0.001953713594027149]","[0.019211934627682878, 0.018855543463536024, 0.020584729810498407, 0.01894247422307873, 0.018518741599565406]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.3103448152542114,0.10000000149011612,0.05000000074505806,1351.484,0.11413384591983303,0.0019506018840361676,0.016874233145741584,9.304043744523144,0.01689491675750751,0.00024593413920076773,0.000906953282026124,"[1357.58, 1338.81, 1359.89, 1356.74, 1344.4]","[0.1129968306098491, 0.12149115362221174, 0.12808281919338785, 0.08549717041776596, 0.12260125575595048]","[0.0018228024351685276, 0.002154837929064967, 0.0021427524834922223, 0.0015808322275913042, 0.002051784344863816]","[0.015875354996595894, 0.017427479063656853, 0.016454160699013013, 0.0181542086355559, 0.016459962333886254]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
