m,μ,D,rθ,N_mean,betas_mean,gammas_mean,betau_mean,gammau_mean,Q_TS_u_mean,Q_TS_s_mean,N_std,betas_std,gammas_std,betau_std,gammau_std,Q_TS_u_std,Q_TS_s_std,N,betas,gammas,betau,gammau,Q_TS_u,Q_TS_s,mean_local_clustering_coefficient,var._local_clustering_coefficient,mean_betweenness_centrality,var._betweenness_centrality,mean_edge_betweeness_centrality_nx,var._edge_betweeness_centrality_nx,mean_eigenvector_centrality,var._eigenvector_centrality,mean_rich_club_nx,var._rich_club_nx,mean_closeness_centrality,var._closeness_centrality,density,degree_var.,degree_correlation,cl,mean_neighb._deg.,var._neighb._deg.,smax,s_elasticity,modules,mean_deg._distrib.,var._deg._distrib.,diameter,graph_energy,algebraic_connectivity,kk,sqrtk,sqrtk_inv,heat_hetero
0.13793103396892548,0.10000000149011612,0.05000000074505806,-0.3333333333333333,957.6019999999999,0.2038024542849873,0.2492891749065,0.09043818793853073,0.13775465252793567,0.6574723266828261,0.8167845253376729,5.038894472004723,0.020959792475620236,0.02260981868060235,0.01148997736943721,0.011882527007158519,0.0738827607631049,0.010861458282827672,"[959.805, 950.97, 961.925, 953.53, 961.78]","[0.22326207956751015, 0.17550352723642704, 0.20956238696702914, 0.18891309088182193, 0.22177118677214827]","[0.2701060770243613, 0.21880351214322896, 0.25419315205356313, 0.23368968713174174, 0.2696534461796048]","[0.08934783551702102, 0.07857389132495697, 0.10012809880903292, 0.08009340612958578, 0.10404770791205706]","[0.15602724169754156, 0.12748837499984234, 0.14016778629795598, 0.12682705490554136, 0.13826280473879712]","[0.572642536937374, 0.61632200837962, 0.7143445826859938, 0.6315167232199628, 0.7525357821911798]","[0.8265718492049099, 0.8021056221508103, 0.8244218432873853, 0.8083929299598182, 0.822430382085441]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17241379618644714,0.10000000149011612,0.05000000074505806,-0.3333333333333333,934.233,0.2098881795463891,0.2613378212685752,0.0840482196828749,0.1362322712183856,0.6234303988669813,0.8028625352232981,5.801308688563293,0.01431651258937588,0.015998511304342513,0.0049026213923405925,0.016744208587957186,0.07207601788335305,0.007797104490836154,"[925.405, 940.68, 932.31, 935.345, 937.425]","[0.2293220702998254, 0.2162229065721998, 0.20711344136456689, 0.20645308919835817, 0.19032939029699533]","[0.28314016067042536, 0.26945361093606596, 0.2587619791242416, 0.254813919253058, 0.24051943635908501]","[0.09258409452582878, 0.08118076923124107, 0.08045639091658417, 0.08304151346810093, 0.08297833027261961]","[0.14631757856903804, 0.11538730398286934, 0.1585496129484408, 0.13364672442785872, 0.12726013616372114]","[0.6327612541930099, 0.7035502731157784, 0.5074524586997763, 0.6213509072040594, 0.652037101122282]","[0.8099242077027564, 0.8024494673537838, 0.8004013652450994, 0.810211191772957, 0.7913264440418938]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2068965584039688,0.10000000149011612,0.05000000074505806,-0.3333333333333333,912.0840000000001,0.18678178524867223,0.24245830762258075,0.07610992409863027,0.13091638357651425,0.5816281362913897,0.7693185316695519,7.276598965175988,0.026625574811910576,0.031243859392789758,0.008698527689315144,0.005961499368163859,0.06307804978941427,0.012062822222842783,"[905.275, 913.12, 907.5, 910.565, 923.96]","[0.189443230941422, 0.1604584864924371, 0.22808355868683938, 0.1896721986916404, 0.1662514514310223]","[0.2458399280477957, 0.2124478310626724, 0.2919275437988388, 0.24296716054095924, 0.21910907466263774]","[0.07330566871951394, 0.06302444643780378, 0.07866702305218105, 0.08652761696309341, 0.07902486532055913]","[0.12288312448189702, 0.1320729622651735, 0.13686253128549378, 0.13588150296677523, 0.12688179688323165]","[0.596547890758696, 0.4771941611430243, 0.5747886022075865, 0.6367873115463738, 0.6228227158012675]","[0.7705958606715456, 0.7552841828971256, 0.7813019481437046, 0.7806495259249885, 0.7587611407103958]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24137930572032928,0.10000000149011612,0.05000000074505806,-0.3333333333333333,892.61,0.1887124682007188,0.2525421726096867,0.07065579258007847,0.11587402407739042,0.6095374949484091,0.7471601655574708,3.9765138626691674,0.010162504760835724,0.012700768415680203,0.0056870619266123365,0.004283012997442883,0.039961535524884254,0.005157249351812745,"[890.28, 899.465, 892.395, 889.59, 891.32]","[0.188255605403305, 0.17624205116906133, 0.19097432493730776, 0.20392936830063602, 0.18416099119328394]","[0.25307366645947504, 0.23685564774342155, 0.2572130375592685, 0.27047505303467534, 0.24509345825159315]","[0.06864767062377378, 0.0646836787462115, 0.06668791189837169, 0.07775882718321675, 0.07550087444881863]","[0.11664211792434852, 0.1105980072824171, 0.11475863997854654, 0.11495100176435828, 0.12242035343728168]","[0.588532443043405, 0.5848539258129557, 0.5811145192278211, 0.6764519316031455, 0.6167346550547185]","[0.743876706087279, 0.744090558313302, 0.7424752911030117, 0.7539673844688809, 0.7513908878148806]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27586206793785095,0.10000000149011612,0.05000000074505806,-0.3333333333333333,870.3259999999998,0.15513202553563651,0.22021871179825428,0.06035025741279008,0.11346838270367465,0.5322300475749433,0.7041977906016733,7.859140697302708,0.00819935562556758,0.009221049792235021,0.0035827140369075936,0.004090991080768168,0.033327255563937834,0.00931338841334542,"[865.205, 863.11, 883.16, 868.675, 871.48]","[0.15977139390785636, 0.14625531662757105, 0.15993816021374688, 0.16337222044401123, 0.14632303648499712]","[0.22694386089110036, 0.21173590045737056, 0.2246820783843682, 0.22884942760997568, 0.20888229164845654]","[0.05606998948105264, 0.06011223135005331, 0.06120451317899486, 0.05860990556887656, 0.06575464748497303]","[0.10926511608680016, 0.11734309161326253, 0.10908873907104746, 0.11723654745063315, 0.11440841929662987]","[0.5131554469453057, 0.5122775488834931, 0.5610525311795336, 0.49992862160629953, 0.5747360892600845]","[0.7040128482899263, 0.6907440651851908, 0.7118420897822452, 0.7138852045653521, 0.7005047451856521]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3103448152542114,0.10000000149011612,0.05000000074505806,-0.3333333333333333,850.941,0.13904317982216763,0.20724913132907896,0.046934696450377345,0.10709834050731319,0.44331048298885206,0.6700522253117641,5.331611388689142,0.014127542588326363,0.017260304097211996,0.0037149210710357176,0.012434066568872108,0.06425030347386256,0.014783488301983205,"[845.45, 846.24, 857.76, 850.475, 854.78]","[0.11727672907796494, 0.13767313578506013, 0.15168671559138927, 0.13694853037844495, 0.15163078827797885]","[0.18108614326436953, 0.20689124399254827, 0.22486827791363218, 0.20284032170385138, 0.22055966977099345]","[0.041463746241004976, 0.0454117364033886, 0.051201433740029396, 0.04901524439150468, 0.04758132147595909]","[0.11328141953767411, 0.09399461040230779, 0.10741755679800181, 0.0964959203549739, 0.12430219544360833]","[0.3660242466083799, 0.4831312796448767, 0.47665796231349256, 0.507951467908645, 0.38278745846886597]","[0.6476295036376771, 0.6654372274450571, 0.6745580879560494, 0.6751543737856568, 0.6874819337343799]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3448275923728943,0.10000000149011612,0.05000000074505806,-0.3333333333333333,824.7909999999999,0.15284720256125706,0.23534932797482894,0.04649213562499973,0.09238481830592296,0.5032765817727517,0.648596422397364,10.694691089507915,0.018236486239955635,0.023945539048734935,0.004806689612845556,0.004988510998119645,0.046067996531742234,0.012859900352690096,"[833.635, 825.765, 825.735, 806.77, 832.05]","[0.16343376394484188, 0.14543301317949603, 0.13669465076439313, 0.17956208877539281, 0.1391124961421615]","[0.25047706606428577, 0.22627202404737126, 0.21653765641483655, 0.2695418674830605, 0.21391802586459047]","[0.04535806110836324, 0.04481821539539599, 0.03997278032248712, 0.0522345143079878, 0.050077106990764515]","[0.09541912655888994, 0.09519105018779697, 0.08446081926571698, 0.09046860568089206, 0.0963844898363189]","[0.4753560710951336, 0.4708238359276077, 0.47327009931943964, 0.5773772450106445, 0.519555657510933]","[0.652489932562912, 0.6427352819765684, 0.6312742690006652, 0.6661751306100061, 0.6503074978366683]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37931033968925476,0.10000000149011612,0.05000000074505806,-0.3333333333333333,801.1559999999998,0.11259804838318979,0.1935362874506453,0.04123188055379441,0.09710195196784246,0.4247317687310071,0.5788235074026362,5.67766831542669,0.022395546385709827,0.0321756699425617,0.0022460080801419697,0.0021656825995828638,0.023606354488909315,0.024679487009508075,"[807.99, 792.415, 803.54, 800.78, 801.055]","[0.11682693519301802, 0.1342631021440947, 0.10522615494795043, 0.07790961808884736, 0.1287644315420384]","[0.1982769878832367, 0.227143539184332, 0.18055901706829805, 0.14550318820217004, 0.2161987049151898]","[0.03876537110852472, 0.0425010869896838, 0.044215156314880585, 0.039341680118137316, 0.041336108237745674]","[0.09572358669907008, 0.09944656763559688, 0.09718381968533585, 0.09890250394467033, 0.09425328187453924]","[0.40497198700246057, 0.4273761075939894, 0.45496417467477096, 0.39778244785537975, 0.43856412652843496]","[0.5892107623796273, 0.591093643368554, 0.5827798392818438, 0.5354495599133917, 0.5955837320697641]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4137931168079376,0.10000000149011612,0.05000000074505806,-0.3333333333333333,772.3739999999999,0.10298300613412739,0.19196967449399527,0.03360319369072823,0.09182919565371425,0.3660092766069279,0.5324716079793739,5.806306269910344,0.021857142790381333,0.030888702756789847,0.004839510714402225,0.0019718410562338043,0.05294611414260501,0.031417511996340665,"[768.535, 774.04, 770.12, 781.745, 767.43]","[0.07149508144710288, 0.08955399915204111, 0.12012782243904012, 0.11141373558662107, 0.12232439204583184]","[0.1479376261572847, 0.1724676191265046, 0.21544238571292904, 0.20351890176570772, 0.22048183970755023]","[0.028924522482848866, 0.029882480199364833, 0.03365326285864645, 0.03437992997255524, 0.041175772940225744]","[0.09304783923971323, 0.08933614428400465, 0.09093760008729575, 0.09444704314710181, 0.09137735151045584]","[0.31085646608442413, 0.33449485019598274, 0.37006983718880776, 0.36401277188750425, 0.45061245767792046]","[0.48327854991461444, 0.5192510895993379, 0.5575867628903214, 0.5474367963860246, 0.5548048411065709]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4482758641242981,0.10000000149011612,0.05000000074505806,-0.3333333333333333,754.5219999999999,0.06275540137038683,0.14160525498349222,0.026075248980111432,0.08731361908171026,0.30080914262130587,0.43565158751864946,7.459211251868372,0.020132392567664553,0.03236921898087235,0.0037203724794673426,0.0071260372383823755,0.05084857121636933,0.04493640647818685,"[750.65, 748.845, 749.02, 766.035, 758.06]","[0.03976824827694155, 0.04628270920696864, 0.08989224986078424, 0.06677710339671587, 0.07105669611052384]","[0.10086457095675402, 0.12028092720317042, 0.18527918003338445, 0.1508611894173, 0.15074040730685215]","[0.029850987256362503, 0.02036476027431655, 0.02876705895739963, 0.025001595396795962, 0.026391843015682533]","[0.09442444099866472, 0.09562318078127775, 0.08340995555784718, 0.08056707555954627, 0.08254344251121537]","[0.3161362348630122, 0.2129688649543836, 0.34488759483211634, 0.31032025456003487, 0.319732763896982]","[0.3942737068102169, 0.38478843057795037, 0.48517188949447554, 0.4426393803114097, 0.47138453039919476]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
