m,μ,D,rθ,N_mean,alphas_mean,betas_mean,alphau_mean,betau_mean,Q_ST_u_mean,Q_ST_s_mean,N_std,alphas_std,betas_std,alphau_std,betau_std,Q_ST_u_std,Q_ST_s_std,N,alphas,betas,alphau,betau,Q_ST_u,Q_ST_s,mean_local_clustering_coefficient,var._local_clustering_coefficient,mean_betweenness_centrality,var._betweenness_centrality,mean_edge_betweeness_centrality_nx,var._edge_betweeness_centrality_nx,mean_eigenvector_centrality,var._eigenvector_centrality,mean_rich_club_nx,var._rich_club_nx,mean_closeness_centrality,var._closeness_centrality,density,degree_var.,degree_correlation,cl,mean_neighb._deg.,var._neighb._deg.,smax,s_elasticity,modules,mean_deg._distrib.,var._deg._distrib.,diameter,graph_energy,algebraic_connectivity,kk,sqrtk,sqrtk_inv,heat_hetero
0.009999999776482582,0.10000000149011612,0.05000000074505806,-1.0,1320.2,0.019227250006191663,0.23207650539189975,0.020494946399342854,0.18339273920254154,0.8992827165385103,0.9233152309773786,4.467169125967793,0.0018022691807580932,0.01609431786703762,0.0016042371098711156,0.00973703605334838,0.009434303686686383,0.007929550895763965,"[1316.215, 1322.675, 1322.955, 1314.605, 1324.55]","[0.021928261919529096, 0.01969539061342425, 0.017047474863186043, 0.0183881615904731, 0.019076961044345822]","[0.22310928235053482, 0.23118890948942641, 0.2151313618802387, 0.23305367549610653, 0.2578992977431922]","[0.01768722640907025, 0.02130144362856084, 0.021075754632859125, 0.02166037370611132, 0.02074993362011274]","[0.18963736780353976, 0.1727681927870549, 0.1782148619320374, 0.19697155080842027, 0.17937172268165535]","[0.9146882381405647, 0.8902381432665639, 0.894246126605785, 0.9009276721402522, 0.8963134025393862]","[0.9105106036511644, 0.9214961214976383, 0.9265761035661282, 0.9268691248698543, 0.9311242013021076]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009999999776482582,0.10000000149011612,0.05000000074505806,-0.7777777777777778,1317.1739999999998,0.01704314606504322,0.23739259352984812,0.025010635508036817,0.17776420632416987,0.8768957499266655,0.9328543420823042,4.260318943459502,0.000749527846965409,0.014243601845635737,0.0038692074568703297,0.005489661819343805,0.016383877338058715,0.004630852509004381,"[1317.435, 1316.51, 1313.315, 1324.21, 1314.4]","[0.01762949542154907, 0.017735354313555787, 0.01720834694710713, 0.01674239597649901, 0.01590013766650509]","[0.2522520200703226, 0.24315675583771867, 0.21681189500299974, 0.22918803837711324, 0.24555425836108632]","[0.028330978971537843, 0.020701047550602016, 0.025791635250784064, 0.028965354769981157, 0.02126416099727901]","[0.1779402188568736, 0.18238456812888926, 0.17120311763826257, 0.1838696770734098, 0.17342344992341424]","[0.8626517939983787, 0.8980673865978165, 0.8690745064397187, 0.8639070151228931, 0.8907780474745204]","[0.9346769066809986, 0.9320203500854349, 0.9264664167351132, 0.9319222282492053, 0.9391858086607687]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009999999776482582,0.10000000149011612,0.05000000074505806,-0.5,1326.35,0.015976409880812715,0.24884479900935572,0.02760490903132114,0.17293633297653338,0.8625719083464121,0.9393751958700569,3.9020635566325352,0.0006443213671440699,0.023791106933187936,0.003564622252575892,0.008673277048086285,0.013164473960657497,0.004573609077169199,"[1324.545, 1326.185, 1324.805, 1323.155, 1333.06]","[0.015792016182311474, 0.015130047331565689, 0.015717232557213655, 0.01669598330662757, 0.016546770026345185]","[0.2564262272431983, 0.22130355640995383, 0.2475404356562763, 0.2347758252633971, 0.2841779504739532]","[0.027230817803487087, 0.0239427128074705, 0.02500936866028125, 0.028853566084830643, 0.032988079800536224]","[0.18179440116212414, 0.1731977271391097, 0.15906680991987934, 0.17225162217044784, 0.1783711044911059]","[0.8697247253788688, 0.8785499676577857, 0.8641357678479278, 0.8565250039784923, 0.8439240768689857]","[0.9419876640757444, 0.9360072041700698, 0.940297151973299, 0.9336069382823944, 0.9449770208487773]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009999999776482582,0.10000000149011612,0.05000000074505806,-0.2698412698412698,1325.5919999999999,0.014487296238435315,0.24193837552628078,0.032787619776426406,0.15781565607808754,0.8281173737654195,0.943314019032244,6.9599062493686406,0.0013508437178446746,0.01649247312933197,0.006226195114339136,0.005286755323421972,0.03186905283198771,0.0066839428830723704,"[1330.155, 1321.725, 1316.235, 1325.865, 1333.98]","[0.01628450382434378, 0.015113488756868812, 0.013693063592999719, 0.014599843574020235, 0.01274558144394404]","[0.22455579954719096, 0.2692282893121212, 0.24048108298070567, 0.23643116656793756, 0.2389955392234483]","[0.035248363548128804, 0.02351985056732074, 0.03472288444766504, 0.030349952142152796, 0.040097048176864665]","[0.15438846934236286, 0.16485462626227856, 0.15745723563789008, 0.1609369092080718, 0.15144103993983443]","[0.8141270184126971, 0.8751431140610603, 0.819321142935039, 0.8413380201445959, 0.7906575732737053]","[0.9323846399611019, 0.9468474563973438, 0.9461272368665984, 0.9418404779323318, 0.9493702840038443]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009999999776482582,0.10000000149011612,0.05000000074505806,0.0,1325.9720000000002,0.014426168053780197,0.24889026534161074,0.038074478927975955,0.1536907750097945,0.8018740599464914,0.9451364282503114,4.995009509500515,0.0017669874385101204,0.025430474969523272,0.007876661622965422,0.006151408110552961,0.03825478150088183,0.004566697487168885,"[1317.245, 1329.63, 1328.705, 1326.965, 1327.315]","[0.016927108854016982, 0.015244130016246311, 0.012401872651694582, 0.014339861605680683, 0.013217867141262425]","[0.26810865617599516, 0.2503653244639297, 0.20482962450512543, 0.25988067707682183, 0.26126704448618177]","[0.046517157805751524, 0.04081114135666931, 0.04144425190205691, 0.025690845925187868, 0.03590899765021415]","[0.1532686076548799, 0.15168562775882688, 0.14543016526197383, 0.16233677514036945, 0.15573269923292238]","[0.7671648042667089, 0.7879905125463014, 0.7782240472986796, 0.8633666384779152, 0.8126242971428523]","[0.9406140880172188, 0.9426069751693117, 0.9429094177685402, 0.947706828691327, 0.9518448316051596]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009999999776482582,0.10000000149011612,0.05000000074505806,0.23809523809523808,1328.138,0.012367790733326294,0.24772924764578566,0.03787419442102415,0.14257766200495353,0.7902031261812449,0.9523467178916679,5.502400158112839,0.0013706285355577,0.017898393968710482,0.00502501372833586,0.00694746612096727,0.025858362371072932,0.0052071837083038355,"[1324.295, 1328.35, 1334.22, 1332.67, 1321.155]","[0.010798406826889621, 0.01209469667327592, 0.013181744564205376, 0.011506281684454946, 0.014257823917805605]","[0.25647895301283724, 0.2573588445247614, 0.25837821298858304, 0.21622389664808572, 0.25020633105466084]","[0.04204888727068334, 0.030302763565701753, 0.04285447087037306, 0.037391840600120956, 0.03677300979824166]","[0.1392329496797404, 0.1454711633171878, 0.14220589926439633, 0.13368772852806465, 0.1522905692353785]","[0.7680468822578033, 0.827603762952334, 0.7684297786761991, 0.7814359669557959, 0.8054992400640923]","[0.9595984978549441, 0.9551139813583419, 0.9514591743090731, 0.9494740584286857, 0.946087877507294]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009999999776482582,0.10000000149011612,0.05000000074505806,0.5,1330.284,0.01217316925818766,0.23492158723751264,0.05445558004088843,0.12725568727888814,0.7004511516631011,0.9505909584992043,2.1582469738192356,0.0011254728615144585,0.019986362429810067,0.010555729664208577,0.010672284944187194,0.056890209039599626,0.004711593547351252,"[1329.66, 1328.4, 1329.86, 1334.01, 1329.49]","[0.01337522239277455, 0.010836391473560436, 0.01311711288921982, 0.011213400868810428, 0.012323718666573063]","[0.23317271625706973, 0.2320819444671398, 0.2334092312414722, 0.2099916800343996, 0.26595236418748186]","[0.06338380833444815, 0.048551223067357624, 0.04399487703882282, 0.06802385586090426, 0.04832413590290928]","[0.1233072459762119, 0.1304562225366232, 0.13128990160142393, 0.11132823664332267, 0.13989682963685904]","[0.6604882404864701, 0.728775398679406, 0.7490091416943989, 0.6207244927499183, 0.7432584847053125]","[0.9457500132995617, 0.9553908047673859, 0.946792246745581, 0.9493076704069155, 0.9557140572765774]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009999999776482582,0.10000000149011612,0.05000000074505806,0.746031746031746,1330.2810000000002,0.009618361209345703,0.24898013032965075,0.05752679757393957,0.11255597336013604,0.6653161161326591,0.962781056523385,1.9616491786249821,0.0005823496493775238,0.005958336648224834,0.018872171302475742,0.012685711753101951,0.08355959572234035,0.0025927129900250962,"[1327.795, 1333.265, 1329.82, 1330.045, 1330.48]","[0.009636262087925193, 0.00864346838447503, 0.009679039934581777, 0.010052071500845652, 0.01008096413890086]","[0.24755329853587543, 0.2511891151775321, 0.2541946659147275, 0.23927655966254746, 0.25268701235757124]","[0.05369459820748907, 0.0526181663534857, 0.0898598593859144, 0.04015702010353486, 0.051304343819273825]","[0.12835711397184546, 0.09856575457850933, 0.10133178451318019, 0.12100557703307822, 0.11351963670406695]","[0.7050585376829861, 0.6519592425628767, 0.5300011153555443, 0.7508291575278173, 0.6887325275340709]","[0.9625324524659831, 0.9667344708427904, 0.9633194224357117, 0.9596834448817946, 0.9616354919906452]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05000000074505806,0.10000000149011612,0.05000000074505806,-1.0,1259.309,0.05800817199186002,0.19864942107566644,0.03849483069436955,0.15574118479703605,0.8014914420143772,0.773432940115377,7.1801996838527895,0.0036656292810426628,0.020517106778420526,0.0028047193932344205,0.008756257471909727,0.017413438455663833,0.008723290208128747,"[1258.44, 1261.18, 1249.135, 1269.205, 1258.585]","[0.06313834754379051, 0.0540811719543135, 0.058814896276786106, 0.05484258920551289, 0.0591638549788971]","[0.22910424843255398, 0.17330481615421092, 0.19369630538110755, 0.19188448310971612, 0.20525725230074354]","[0.03993521644534467, 0.0408634588136348, 0.034634713741701725, 0.036413383829157146, 0.04062738064200941]","[0.1436275793946375, 0.15773251280519449, 0.1555590941019184, 0.16806484702597613, 0.1537218906574538]","[0.7824438429225193, 0.7942382291013176, 0.8178977847155843, 0.8219204867096344, 0.7909568666228304]","[0.7839522765911194, 0.7621613697300372, 0.7670800507437706, 0.7777196126437084, 0.7762513908682491]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05000000074505806,0.10000000149011612,0.05000000074505806,-0.7777777777777778,1270.011,0.05045768744210037,0.2048512443624106,0.03943710062483059,0.15376188430732635,0.7955987286546838,0.8023138606232584,8.218769220509866,0.0019606361535383786,0.0053866220865938855,0.002323991170280791,0.007226716186929665,0.015530003651082827,0.008229983425535237,"[1265.92, 1262.095, 1270.445, 1283.66, 1267.935]","[0.050790797502028064, 0.0535236561886077, 0.04938957096578295, 0.04829028703367214, 0.05029412552041102]","[0.19983335362953777, 0.20414792561258682, 0.21395370128613472, 0.2041139742403163, 0.20220726704347736]","[0.041836541617204764, 0.04078557369221502, 0.036558750467706014, 0.03736447362110105, 0.040640163725926125]","[0.15651503393715, 0.14988022288052621, 0.16182762763896033, 0.15726233493710914, 0.1433242021428861]","[0.7890788540485266, 0.7860886722981022, 0.815719452027853, 0.8080199028186508, 0.7790867620802865]","[0.7973427649621633, 0.7922795528538197, 0.8124517458014412, 0.8086787965071146, 0.800816442991753]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
