m,μ,D,K1,soptim,tend,N,alphas,betas,gammas,alphau,betau,gammau,success
0.10000000149011612,0.10000000149011612,0.05000000074505806,50.0,"Float32[-0.5, 0.5, -0.5, 0.5, -0.5, 0.5, -0.5]","[1000.0000414026855, 1000.0008299494026, 1000.0017248614655, 1000.0007658490923, 1000.0010777768296]","[322.68, 306.0, 325.0, 322.0, 316.0]","[0.06484094314972597, 0.08350287889997098, 0.08746041027358384, 0.07884088132542925, 0.093402742368851]","[0.1599712280276594, 0.23330999830235602, 0.20742485387630752, 0.19952698278645775, 0.17564658240851408]","[0.2234036399574135, 0.31811507557259394, 0.2961161129462556, 0.26821460277790504, 0.27189214607198137]","[0.046498870553356844, 0.04002637548877281, 0.05935008220633032, 0.04760672001521679, 0.049259739269704186]","[0.08640366228521844, 0.07058060618047136, 0.08587959649378067, 0.07386707621547811, 0.07287412605924222]","[0.13244291611104042, 0.1107890842231786, 0.14622688805140543, 0.11898388843849735, 0.12241644674065177]",true
0.10000000149011612,0.10000000149011612,0.05000000074505806,150.0,"Float32[-0.5, 0.5, -0.5, 0.5, -0.5, 0.5, -0.5]","[1000.0001051374402, 1000.0000829283323, 1000.0009755112326, 1000.0002120870373, 1000.001105831234]","[923.0, 991.0, 1002.0, 956.0, 1038.0]","[0.0717010066289526, 0.06155001530819548, 0.06305377882087136, 0.06868733162422236, 0.06695649297763343]","[0.1549418165653559, 0.1973461488681241, 0.17099578744704474, 0.1721752197416299, 0.21491935523648523]","[0.23065788481623892, 0.2568635212146107, 0.23468059279834408, 0.24171159277830226, 0.28352069921205275]","[0.08622658741073568, 0.06559551730868056, 0.10920780998662963, 0.07199477657059138, 0.09401280492674426]","[0.06904732432786179, 0.07838799893386691, 0.050410797519289334, 0.062043938683531426, 0.058966117101217866]","[0.1552012144529727, 0.14371865220707958, 0.15966327658638196, 0.13392454963871017, 0.15292815773346866]",true
0.10000000149011612,0.10000000149011612,0.05000000074505806,300.0,"Float32[-0.5, 0.5, -0.5, 0.5, -0.5, 0.5, -0.5]","[1000.000118135852, 1000.0001308466494, 1000.0003506959795, 1000.0007397818672, 1000.0001727556001]","[1895.0, 1922.0, 1939.0, 1868.0, 1938.0]","[0.06793289276160304, 0.05995624343067672, 0.08207073432997429, 0.07297828998050684, 0.05919096923562359]","[0.16398342282698888, 0.18015046772623106, 0.18963120682556872, 0.19527215439061552, 0.1631605371480133]","[0.23086604842009187, 0.24044329801950903, 0.27216070782961793, 0.2656597328428345, 0.22140255269181142]","[0.11272804395790102, 0.11004415904550507, 0.1109447836343774, 0.13085012583075067, 0.1306702300388327]","[0.045175055598620985, 0.04912773882962764, 0.06135819301790411, 0.042360141693372384, 0.057390872003788874]","[0.15677219932223152, 0.15914655145826315, 0.17234698264609233, 0.17260009764405615, 0.18796900035382455]",true
0.10000000149011612,0.10000000149011612,0.05000000074505806,500.0,"Float32[-0.5, 0.5, -0.5, 0.5, -0.5, 0.5, -0.5]","[1000.0001214918984, 1000.0005376922419, 1000.0008365282442, 1000.0000210752543, 1000.0002045063027]","[3264.0, 3336.0, 3254.0, 3222.0, 3132.0]","[0.06257971251188284, 0.06361668447084233, 0.06924232679244399, 0.06676205064978967, 0.06999366707822659]","[0.196540920974775, 0.18628119537445792, 0.1984824584952858, 0.1649482632836373, 0.19625490448501764]","[0.25621365714750427, 0.24890216096240128, 0.268012310482734, 0.2327157289596605, 0.2665763617845165]","[0.15950784318979702, 0.1400874389230458, 0.15340704750993112, 0.13806771624350406, 0.16065458076517194]","[0.03570833317665622, 0.05005265797178211, 0.03925349292674853, 0.040310490757085975, 0.02734805925129058]","[0.19505106308970604, 0.19037849211029018, 0.19251165616950128, 0.1785597385229333, 0.1879416290113508]",true
