m,μ,D,N_mean,betau_mean,gammau_mean,Q_TS_u_mean,N_std,betau_std,gammau_std,Q_TS_u_std,N,betau,gammau,Q_TS_u,mean_local_clustering_coefficient,var._local_clustering_coefficient,mean_betweenness_centrality,var._betweenness_centrality,mean_edge_betweeness_centrality_nx,var._edge_betweeness_centrality_nx,mean_eigenvector_centrality,var._eigenvector_centrality,mean_rich_club_nx,var._rich_club_nx,mean_closeness_centrality,var._closeness_centrality,density,degree_var.,degree_correlation,cl,mean_neighb._deg.,var._neighb._deg.,smax,s_elasticity,modules,mean_deg._distrib.,var._deg._distrib.,diameter,graph_energy,algebraic_connectivity,kk,sqrtk,sqrtk_inv,heat_hetero
0.0,0.10000000149011612,0.05000000074505806,1046.882,0.18388707609888444,0.20203631113184586,0.9098120204548922,7.916007200603108,0.00847321211980871,0.005711703187775938,0.018093185479259984,"[1058.28, 1046.37, 1036.09, 1048.25, 1045.42]","[0.19149322862723, 0.18812674917374386, 0.18274440930661906, 0.1872753027204013, 0.169795690666428]","[0.2083960668505453, 0.20531239276981084, 0.20039354793073572, 0.2027658570705762, 0.1933136910375612]","[0.9188908002019183, 0.9162951472913039, 0.9119276104128017, 0.9236037340113767, 0.8783428103570604]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03448275849223137,0.10000000149011612,0.05000000074505806,1048.453,0.060420417772788414,0.14913077806767525,0.4050333202449769,4.413803065384748,0.009456558517432625,0.015821897291157586,0.04567220318544412,"[1050.1, 1049.84, 1042.415, 1045.935, 1053.975]","[0.0636059713789288, 0.04722823726523471, 0.062262546960921164, 0.07277314624829553, 0.056232187010561825]","[0.15688439181776087, 0.14354882239007635, 0.13801412905778365, 0.1729225212384922, 0.13428402583426322]","[0.4054321187847316, 0.32900470013538496, 0.45113168764665484, 0.4208425006013409, 0.4187555940567721]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06896551698446274,0.10000000149011612,0.05000000074505806,1038.679,0.02985933476399999,0.1253013230070226,0.24132816769591484,3.4831243158979523,0.007441800993960281,0.032877933384880535,0.03571367625948756,"[1037.23, 1035.41, 1038.42, 1044.58, 1037.755]","[0.020661705763556814, 0.034820706008131676, 0.029406929945723647, 0.03931399571292609, 0.025093336389661727]","[0.07970160054292559, 0.16831047019799603, 0.135111947731696, 0.13336176676403122, 0.11002082979846406]","[0.2592382790660378, 0.2068837783363656, 0.21764862722665834, 0.2947921032156677, 0.2280780506348448]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1034482792019844,0.10000000149011612,0.05000000074505806,1031.9170000000001,0.01750064381291892,0.10297198287349607,0.1672484990031184,3.9585486608099263,0.00595280033224864,0.02824656529527178,0.014649787809551357,"[1027.195, 1034.06, 1028.425, 1033.345, 1036.56]","[0.013551139458327546, 0.019305523786670106, 0.024434563727303044, 0.009478419765767044, 0.02073357232652686]","[0.08353343029885187, 0.11472631650726792, 0.12878382662477872, 0.06353634594230262, 0.12427999499427927]","[0.16222414678586236, 0.16827458925212768, 0.18973317044301663, 0.1491810651870726, 0.16682952334751258]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13793103396892548,0.10000000149011612,0.05000000074505806,1017.564,0.011116297756719955,0.09040910053880671,0.1211399842216107,2.900886502433327,0.0033122481926596875,0.01614896466011475,0.01663375449805855,"[1017.095, 1012.7, 1019.04, 1019.205, 1019.78]","[0.008203567706822878, 0.008430506614349879, 0.009586333827531318, 0.014212543379917312, 0.01514853725497838]","[0.08051452714091445, 0.07487384614170184, 0.0813776940982791, 0.1114182684140448, 0.10386116689909342]","[0.10188928629569177, 0.11259614737026863, 0.11780050951006293, 0.12756026082815836, 0.14585371710387177]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17241379618644714,0.10000000149011612,0.05000000074505806,1002.9459999999999,0.00784269645967475,0.09133310609938813,0.08516493014598193,5.892382158346506,0.0026490361766744555,0.02533391170033336,0.007980588827604562,"[1011.855, 999.72, 996.05, 1004.19, 1002.915]","[0.007748097662132747, 0.005485765403894932, 0.012240501844816384, 0.007666682052682171, 0.006072435334847511]","[0.08526879975001583, 0.07086140072541737, 0.13053359704735618, 0.10072487342179567, 0.06927685955235563]","[0.09086673771470916, 0.07741542430344925, 0.09377280732082839, 0.07611508252363007, 0.08765459886729275]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2068965584039688,0.10000000149011612,0.05000000074505806,993.606,0.006758055354721447,0.09911323966816935,0.06655586356358092,7.19625544988505,0.0027290964598788415,0.025517034610431737,0.01038394534156427,"[1002.345, 986.675, 996.91, 985.63, 996.47]","[0.006890527650614157, 0.011186121428097218, 0.005793697220876175, 0.0037830393394286703, 0.006136891134591013]","[0.09925728038108121, 0.13457396452273174, 0.09068845959580242, 0.06423193717606196, 0.1068145566651694]","[0.0694208789940563, 0.08312247816855911, 0.06388571651452266, 0.05889654750812246, 0.05745369663264408]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24137930572032928,0.10000000149011612,0.05000000074505806,978.582,0.006763695597581077,0.11514535448083207,0.058209278781208164,2.345198818863757,0.001920515073147581,0.02468344596517027,0.005897466388159824,"[980.26, 975.6, 978.615, 977.04, 981.395]","[0.0070281858898183155, 0.009619786992219033, 0.004998484949794915, 0.007202212447160818, 0.0049698077089123]","[0.13027694468876347, 0.14858492357717332, 0.08836470631640701, 0.11247517980162122, 0.09602501802019535]","[0.05394804051176451, 0.06474268560109078, 0.0565665315731019, 0.06403379358773877, 0.05175534263234486]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27586206793785095,0.10000000149011612,0.05000000074505806,973.162,0.004627749409844389,0.09694770385414478,0.04829253618004781,4.710077759443071,0.00040235736129392376,0.01625573833567494,0.0043204773078053815,"[977.11, 978.57, 967.285, 972.71, 970.135]","[0.004022655207530605, 0.00455487194133058, 0.004567640568415353, 0.005004573352581765, 0.004989005979363641]","[0.07632630895345181, 0.09590194150641812, 0.086401892958901, 0.11250247103168216, 0.11360590482027082]","[0.05270338973136841, 0.0474950962387529, 0.052865052049126456, 0.04448411938589697, 0.04391502349509431]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3103448152542114,0.10000000149011612,0.05000000074505806,957.8879999999999,0.0051817295269453905,0.10897354657338298,0.047779698384531256,3.649019731379908,0.0011071025375143228,0.02421596640737208,0.004751971429917858,"[960.245, 952.48, 962.035, 957.915, 956.765]","[0.005157098893072919, 0.006878357977030072, 0.0038041205241381554, 0.004831544483542141, 0.005237525756943663]","[0.11011195322365001, 0.14540259087575136, 0.08733181217846622, 0.08648309410057532, 0.11553828248847195]","[0.04683505052896718, 0.04730560807480886, 0.0435593906647016, 0.05586692444101627, 0.04533151821316235]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
