m,μ,D,rθ,N_mean,alphas_mean,betas_mean,alphau_mean,betau_mean,Q_ST_u_mean,Q_ST_s_mean,N_std,alphas_std,betas_std,alphau_std,betau_std,Q_ST_u_std,Q_ST_s_std,N,alphas,betas,alphau,betau,Q_ST_u,Q_ST_s,mean_local_clustering_coefficient,var._local_clustering_coefficient,mean_betweenness_centrality,var._betweenness_centrality,mean_edge_betweeness_centrality_nx,var._edge_betweeness_centrality_nx,mean_eigenvector_centrality,var._eigenvector_centrality,mean_rich_club_nx,var._rich_club_nx,mean_closeness_centrality,var._closeness_centrality,density,degree_var.,degree_correlation,cl,mean_neighb._deg.,var._neighb._deg.,smax,s_elasticity,modules,mean_deg._distrib.,var._deg._distrib.,diameter,graph_energy,algebraic_connectivity,kk,sqrtk,sqrtk_inv,heat_hetero
0.0,0.10000000149011612,0.05000000074505806,-0.12500000083819032,1332.6180000000002,0.007969429350432076,0.2384867716891604,0.016624489024896612,0.6292092601223853,0.9742262435844223,0.9679264033933513,5.951263101224791,0.002132733242239331,0.015507562159652129,0.001026735351477099,0.014827446035047683,0.002076203247803515,0.006735879208785019,"[1336.755, 1330.8, 1330.48, 1340.165, 1324.89]","[0.005744125958476126, 0.01151918657189507, 0.007708913297866201, 0.00737580657974126, 0.0074991143441817225]","[0.21702638902767774, 0.25383826795300113, 0.23430885513693794, 0.23374692140053044, 0.2535134249276549]","[0.016353497769807653, 0.018215495758771138, 0.015375659382444555, 0.016430949829774295, 0.01674684238368543]","[0.6273614703808753, 0.6134808349796831, 0.6532324954813117, 0.6220667534778134, 0.6299047462922431]","[0.9745951258259703, 0.971164157725157, 0.9770034821283661, 0.9742662350316099, 0.9741022172110086]","[0.9742150528366237, 0.9565899266236204, 0.9681473251004591, 0.9694105709506374, 0.9712691414554164]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.03448275849223137,0.10000000149011612,0.05000000074505806,-0.12500000083819032,1307.799,0.030538938711634888,0.23592721007993914,0.10929508934627497,0.2836741238203353,0.7224970742573115,0.8851773401256817,4.42590442734589,0.0009339979007051892,0.015639734690227457,0.014567748578061078,0.017031109050858095,0.025254310041005527,0.005019162967362298,"[1312.865, 1310.755, 1302.055, 1308.705, 1304.615]","[0.03096640617234474, 0.031141114262474755, 0.030256418706793554, 0.0290284624042211, 0.03130229201234029]","[0.2523360133052294, 0.25261165088270104, 0.22244610926308703, 0.22079536826557064, 0.23144690868310744]","[0.08743916996503058, 0.10130566650594519, 0.11776043633261488, 0.11809419993859001, 0.12187597398919417]","[0.2852842005492668, 0.26236437384054756, 0.2806872423294751, 0.2802309958357686, 0.3098038065466185]","[0.765404648910588, 0.7214352152587975, 0.7044519452891994, 0.7035231484440481, 0.7176704133839245]","[0.8906948757110914, 0.8902526491802042, 0.8802686346279852, 0.8838042698873275, 0.8808662712218002]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.06896551698446274,0.10000000149011612,0.05000000074505806,-0.12500000083819032,1278.724,0.049110136533826954,0.2043613204564183,0.11511685286729598,0.2725639987877911,0.703047544889611,0.8059202279951376,5.994335242543598,0.0035258788161092705,0.020496316717231764,0.016024238363742626,0.031165287748376437,0.026002667704280755,0.005637232209763008,"[1278.155, 1278.335, 1274.24, 1288.805, 1274.085]","[0.04751186097275739, 0.04467955229595213, 0.048803921224153786, 0.05035642864393236, 0.05419891953233909]","[0.18916999775568674, 0.18663476381928265, 0.2026382728624131, 0.20536579333146354, 0.23799777451324552]","[0.10543978866520634, 0.0921868177942526, 0.13181793553484825, 0.12201015930238325, 0.12412956303978956]","[0.30739959500433944, 0.22237955023364742, 0.2756343102989787, 0.2845468514123576, 0.27285968698963203]","[0.7445985222436897, 0.7069400064215504, 0.6764824911810446, 0.69989409581725, 0.6873226087845198]","[0.7992585438190685, 0.8068448462407578, 0.8059040114510316, 0.8030815302051562, 0.8145122082596742]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.1034482792019844,0.10000000149011612,0.05000000074505806,-0.12500000083819032,1252.761,0.0653305978905285,0.18092281933109994,0.13467696220487715,0.24315729022940472,0.6426849700637012,0.7343508471377551,8.119748610640562,0.0024581897557741828,0.012327712150150449,0.020541718413273864,0.033783178498993094,0.045163237735601616,0.009947721012275104,"[1256.56, 1238.535, 1258.885, 1254.64, 1255.185]","[0.06303857071774165, 0.06438085820074584, 0.06574064804545314, 0.06937684999593068, 0.06411606249277119]","[0.18038853910999442, 0.16339162905537197, 0.1879235221215333, 0.19620295876779575, 0.1767074476008042]","[0.12174452395366057, 0.12228940763421785, 0.17083657292681576, 0.12992168634150436, 0.12859262016818718]","[0.25338122839159266, 0.19670825253341445, 0.23663345913847544, 0.2385810842915936, 0.2904824267919474]","[0.675456768316959, 0.6166448131000235, 0.58073831329161, 0.647433624126366, 0.6931513314835474]","[0.7410371804424264, 0.7173457647307813, 0.7408358933696617, 0.7387721215747545, 0.7337632755711517]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.13793103396892548,0.10000000149011612,0.05000000074505806,-0.12500000083819032,1229.1860000000001,0.08159587416744209,0.16327301029248553,0.15395850770812186,0.20247443852589883,0.5684065420676438,0.666939179036226,8.309133829708127,0.006621676199009604,0.010604640306024312,0.013518111022785361,0.010685368781736168,0.02178759845512359,0.006334163975239606,"[1229.555, 1228.01, 1232.685, 1239.215, 1216.465]","[0.07750851384749502, 0.07909624404364708, 0.08118946572643906, 0.07709842775813777, 0.09308671946149148]","[0.15538533214796765, 0.1588011143519485, 0.16918764046327048, 0.15400811336782788, 0.17898285113141305]","[0.14442782248833003, 0.1724560543799001, 0.1475021491256902, 0.1639533280595615, 0.14145318448712751]","[0.18533039917910685, 0.21072199882150514, 0.2078190773976767, 0.198777921359085, 0.20972279587212053]","[0.5620190400165782, 0.549932327963329, 0.5848766183520138, 0.5480032990751931, 0.5972014249311046]","[0.6671938087663979, 0.6675194521827382, 0.6757312720719674, 0.6663944370310362, 0.6578569251289906]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.17241379618644714,0.10000000149011612,0.05000000074505806,-0.12500000083819032,1193.729,0.10200731255791644,0.1547019115715273,0.17262503384302885,0.1879715641449402,0.5210752127488151,0.6025214068807079,9.821916437233682,0.0073674418416129804,0.01228448427461781,0.008022353909147262,0.012076248949453623,0.008641017565480903,0.004116343063315795,"[1193.715, 1193.425, 1190.6, 1181.85, 1209.055]","[0.1021983381174404, 0.09347460521188616, 0.11056533375824777, 0.10785775357433958, 0.09594053212766833]","[0.15316310374177228, 0.13852440931021887, 0.1693020004014057, 0.16405542774984802, 0.1484646166543916]","[0.1787801424280202, 0.18000578168716946, 0.173989862841117, 0.1702832074134348, 0.16006617484540278]","[0.19500603992520218, 0.1948361374543261, 0.19984323913852844, 0.17770680904572697, 0.17246559516091728]","[0.5217047850659294, 0.5197821468328873, 0.5345787681193881, 0.5106664003005433, 0.5186439634253275]","[0.5997894694932645, 0.5970905074556693, 0.6049366243822706, 0.6033375320420876, 0.6074529010302476]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.2068965584039688,0.10000000149011612,0.05000000074505806,-0.12500000083819032,1162.297,0.11353929711047772,0.12693540268645753,0.20452416576761023,0.16189805206891134,0.4438493083858748,0.5266928970408102,9.403718413478723,0.008900746880396274,0.01649949650136718,0.031997675386133344,0.014590570764739401,0.05179674867397136,0.017197535712095733,"[1149.16, 1170.735, 1170.84, 1164.22, 1156.53]","[0.123458233245502, 0.10396116495940376, 0.11926568795142126, 0.1166526620363146, 0.10435873735974706]","[0.1379465985026007, 0.1131912442109185, 0.13533387497085403, 0.1427064361618983, 0.10549885958601612]","[0.17834630540094412, 0.2566332018949548, 0.1991857130182935, 0.17915724185205456, 0.20929836667180424]","[0.15951708947373208, 0.15302046975169928, 0.15466836409454976, 0.18763281441293278, 0.15465152261164278]","[0.4721348683923034, 0.3735361851795796, 0.43709645895990734, 0.5115537109255152, 0.42492531847206844]","[0.5277125047004871, 0.5212525370701165, 0.531555802443263, 0.5502272222308398, 0.502716418759345]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.24137930572032928,0.10000000149011612,0.05000000074505806,-0.12500000083819032,1144.087,0.12145082940027092,0.1077371059648744,0.1952993503628573,0.13436265646729065,0.4082868237330402,0.46933582120068185,4.932491256961341,0.006166989008095093,0.011258331269000882,0.01769093987472024,0.006170939650294564,0.017964235936530494,0.02127354720196799,"[1136.555, 1144.035, 1147.595, 1149.285, 1142.965]","[0.1244544911525476, 0.12883227600415978, 0.11903260879101425, 0.11241585928642371, 0.12251891176720928]","[0.09654065281620751, 0.12485063291064452, 0.11162593081633294, 0.0992588285900431, 0.10640948469114399]","[0.20458342302409677, 0.1742455716884628, 0.17885098497909405, 0.20422459823407396, 0.2145921738885589]","[0.13495253477041477, 0.1281030996410699, 0.1314047197060296, 0.1444568063989047, 0.13289612182003432]","[0.3974616875544256, 0.42369327795540107, 0.4235368366212358, 0.4142945522172587, 0.38244776431687993]","[0.4368451318996253, 0.49215232293230204, 0.48394449651140214, 0.4689215776615222, 0.4648155769985574]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.27586206793785095,0.10000000149011612,0.05000000074505806,-0.12500000083819032,1120.522,0.13784978072540768,0.10429366039903927,0.21550088535084094,0.123571181179344,0.36379221756148783,0.4305458339556944,4.99170511949577,0.004319723441677382,0.005419620439929401,0.014646301084194954,0.015360641075404842,0.028560614455861964,0.006063625625281675,"[1124.08, 1121.305, 1111.985, 1124.155, 1121.085]","[0.13887513557728343, 0.13465020993339122, 0.1435912325660105, 0.1395320379461965, 0.13260028760415676]","[0.108011779097646, 0.1000571281413057, 0.10928322717276945, 0.10709917238945708, 0.0970169951940181]","[0.23771295571663933, 0.22140875864736476, 0.2123869082566873, 0.20492552620355162, 0.20107027792996177]","[0.13973499475678455, 0.11666290086199854, 0.10402590086386944, 0.1387122174917742, 0.11871989192229326]","[0.37020997088874985, 0.3450833501728867, 0.32876640219781506, 0.40365827106221036, 0.3712430934857771]","[0.43749495286075707, 0.42630592192844846, 0.4321639571100194, 0.43424825367276143, 0.42251608420648573]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.3103448152542114,0.10000000149011612,0.05000000074505806,-0.12500000083819032,1091.6650000000002,0.1304697499706993,0.07171548877911686,0.23271402590885892,0.09877070283822714,0.29866370850558316,0.3497246044168158,11.464534988389167,0.023094940403420153,0.021621886804825033,0.02973815833348762,0.01349003540730292,0.036753721216944306,0.028619921310699716,"[1086.515, 1093.005, 1075.8, 1106.61, 1096.395]","[0.10578404694120291, 0.14948942098083323, 0.15979939146955852, 0.11530911718603568, 0.12196677327586611]","[0.049861236927220276, 0.09263756478008763, 0.09700904885844266, 0.05651986171057584, 0.06254973161925795]","[0.20634606933599403, 0.22278556357214396, 0.21222300070425373, 0.24224906657483003, 0.2799664293570728]","[0.08055358409947377, 0.09730721638793989, 0.11860337083044477, 0.09815953958767812, 0.0992298032855992]","[0.28077267830367963, 0.3039969111458068, 0.3585063980245756, 0.2883579845240975, 0.26168457052975636]","[0.3203517362554405, 0.38259909150134586, 0.3777486780985105, 0.3289309060294393, 0.33899261019934296]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
