Q_ST_s,m,rθ,npop
0.9571702133781705,0.0,-1.0,296.6483577441604
0.9571702133781705,0.0,-0.9310345,296.6483577441604
0.9571702133781705,0.0,-0.86206895,296.6483577441604
0.9571702133781705,0.0,-0.79310346,296.6483577441604
0.9571702133781705,0.0,-0.7241379,296.6483577441604
0.9571702133781705,0.0,-0.6551724,296.6483577441604
0.9571702133781705,0.0,-0.5862069,296.6483577441604
0.9571702133781705,0.0,-0.51724136,296.6483577441604
0.9571702133781705,0.0,-0.44827586,296.6483577441604
0.9571702133781705,0.0,-0.37931034,296.6483577441604
0.9571702133781705,0.0,-0.31034482,296.6483577441604
0.9571702133781705,0.0,-0.2413793,296.6483577441604
0.9571702133781705,0.0,-0.1724138,296.6483577441604
0.9571702133781705,0.0,-0.10344828,296.6483577441604
0.9571702133781705,0.0,-0.03448276,296.6483577441604
0.9571702133781705,0.0,0.03448276,296.6483577441604
0.9571702133781705,0.0,0.10344828,296.6483577441604
0.9571702133781705,0.0,0.1724138,296.6483577441604
0.9571702133781705,0.0,0.2413793,296.6483577441604
0.9571702133781705,0.0,0.31034482,296.6483577441604
0.9571702133781705,0.0,0.37931034,296.6483577441604
0.9571702133781705,0.0,0.44827586,296.6483577441604
0.9571702133781705,0.0,0.51724136,296.6483577441604
0.9571702133781705,0.0,0.5862069,296.6483577441604
0.9571702133781705,0.0,0.6551724,296.6483577441604
0.9571702133781705,0.0,0.7241379,296.6483577441604
0.9571702133781705,0.0,0.79310346,296.6483577441604
0.9571702133781705,0.0,0.86206895,296.6483577441604
0.9571702133781705,0.0,0.9310345,296.6483577441604
0.9571702133781705,0.0,1.0,296.6483577441604
0.8297318028227226,0.03448276,-1.0,286.3688702711996
0.8340037799880549,0.03448276,-0.9310345,286.7230494911399
0.8382839065564053,0.03448276,-0.86206895,287.0772538084446
0.8425722218822425,0.03448276,-0.79310346,287.4314819699022
0.8468688114149291,0.03448276,-0.7241379,287.78573396305535
0.8511737363878883,0.03448276,-0.6551724,288.1400085853202
0.8554870568884813,0.03448276,-0.5862069,288.4943055765217
0.8598088548073223,0.03448276,-0.51724136,288.8486246995501
0.8641391902665075,0.03448276,-0.44827586,289.20296482414693
0.8684781237786753,0.03448276,-0.37931034,289.55732576359253
0.8728257379536611,0.03448276,-0.31034482,289.9117073530969
0.8771820934325709,0.03448276,-0.2413793,290.2661085330465
0.881547251583849,0.03448276,-0.1724138,290.62052918448944
0.8859212950887335,0.03448276,-0.10344828,290.9749692137581
0.8903042855264894,0.03448276,-0.03448276,291.32942762662697
0.8946962882449366,0.03448276,0.03448276,291.6839043709413
0.8990973762091452,0.03448276,0.10344828,292.03839941520346
0.9035076224968484,0.03448276,0.1724138,292.3929121355196
0.9079270891569671,0.03448276,0.2413793,292.74744162215086
0.9123558501066368,0.03448276,0.31034482,293.10198882407195
0.9167939791333376,0.03448276,0.37931034,293.45655286896897
0.9212415389402794,0.03448276,0.44827586,293.8111329087373
0.9256986042050243,0.03448276,0.51724136,294.1657299482803
0.9301652495333466,0.03448276,0.5862069,294.5203431732848
0.9346415383958981,0.03448276,0.6551724,294.8749717877756
0.9391275462254899,0.03448276,0.7241379,295.22961685264704
0.9436233485172156,0.03448276,0.79310346,295.58427760715995
0.9481290095143886,0.03448276,0.86206895,295.9389533077697
0.9526446095236993,0.03448276,0.9310345,296.29364568917447
0.9571702129949918,0.03448276,1.0,296.648352187717
0.7090880933555966,0.06896552,-1.0,276.11245963585816
0.7172233761034486,0.06896552,-0.9310345,276.81859501861885
0.725383936670091,0.06896552,-0.86206895,277.5249555964819
0.7335702340516624,0.06896552,-0.79310346,278.23152711275037
0.741782824958858,0.06896552,-0.7241379,278.93829847680024
0.7500222107906821,0.06896552,-0.6551724,279.6452568682532
0.7582888948555138,0.06896552,-0.5862069,280.352391982154
0.7665834205513313,0.06896552,-0.51724136,281.05969415023384
0.7749062914579087,0.06896552,-0.44827586,281.76715250057316
0.7832580129502312,0.06896552,-0.37931034,282.47475859582653
0.7916391326479876,0.06896552,-0.31034482,283.1825045633565
0.8000501575623289,0.06896552,-0.2413793,283.89038125016316
0.8084915973448652,0.06896552,-0.1724138,284.5983818699094
0.8169640090250149,0.06896552,-0.10344828,285.30650014455387
0.8254678999572618,0.06896552,-0.03448276,286.0147284318528
0.8340037925920302,0.06896552,0.03448276,286.7230614064058
0.8425722271936253,0.06896552,0.10344828,287.43149419266115
0.8511737414964943,0.06896552,0.1724138,288.14002111475884
0.8598088592273792,0.06896552,0.2413793,288.848636309532
0.8684781280994927,0.06896552,0.31034482,289.55733798677846
0.8771820975181709,0.06896552,0.37931034,290.26612106290315
0.8859212985536455,0.06896552,0.44827586,290.97498082411033
0.8946962878355412,0.06896552,0.51724136,291.6839165946771
0.9035076254611225,0.06896552,0.5862069,292.39292435919333
0.9123558525936198,0.06896552,0.6551724,293.10200043475027
0.9212415374186933,0.06896552,0.7241379,293.81114513272234
0.9301652514510617,0.06896552,0.79310346,294.5203553972756
0.9391275477100488,0.06896552,0.86206895,295.2296284636159
0.9481290147085539,0.06896552,0.9310345,295.9389667581811
0.9571702140693681,0.06896552,1.0,296.6483644314561
0.5936433873804601,0.10344828,-1.0,265.9091468193333
0.6053913921750068,0.10344828,-0.9310345,266.9606279594646
0.6171797463393854,0.10344828,-0.86206895,268.01324941713926
0.6290102086267442,0.10344828,-0.79310346,269.0669172060735
0.6408845943861602,0.10344828,-0.7241379,270.1215475876209
0.6528046933042015,0.10344828,-0.6551724,271.17705978556717
